case_id,title,domain,osi_layer,severity,symptom,topology_summary,show_outputs,expected_fault,expected_fix,rule_trigger
NET-001,PC1 Cannot Ping Gateway - Interface Administratively Down,Physical & Layer 2,Layer 1,High,PC1 (192.168.10.15) cannot ping its default gateway 192.168.10.1 or reach external servers.,"Topology: PC1 -> Switch1 (Gig0/1) -> Router1 (Gig0/0/0). PC1 IP: 192.168.10.15/24, GW: 192.168.10.1.","Router1# show ip interface brief
Interface              IP-Address      OK? Method Status                  Protocol
GigabitEthernet0/0/0   192.168.10.1    YES manual administratively down   down
GigabitEthernet0/0/1   10.0.0.1        YES manual up                      up
Loopback0              1.1.1.1         YES manual up                      up

Switch1# show interfaces status
Port      Name               Status       Vlan       Duplex  Speed Type
Gi0/1     Link to PC1        connected    10         a-full  a-1000 1000BaseTX
Gi0/2     Link to Router1    connected    10         a-full  a-1000 1000BaseTX",Router interface GigabitEthernet0/0/0 is administratively down (disabled by shutdown command).,"Router1(config)# interface GigabitEthernet0/0/0
Router1(config-if)# no shutdown",RULE-01_INT_DOWN
NET-002,Host IP Default Gateway Subnet Mismatch,Default Gateway & Subnetting,Layer 3,High,Host PC2 in Accounting department gets IP via manual config but cannot reach local gateway or internet.,Topology: Host PC2 (192.168.20.50/24) connected to Switch2. Default gateway set to 192.168.10.1 instead of 192.168.20.1.,"PC2> ipconfig /all
FastEthernet0 Connection:
   IP Address. . . . . . . . . . . : 192.168.20.50
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.10.1

Router1# show ip interface brief
Interface              IP-Address      OK? Method Status                  Protocol
GigabitEthernet0/0/0.20 192.168.20.1   YES manual up                      up","PC2 default gateway is configured as 192.168.10.1, which belongs to VLAN 10 subnet, whereas PC2 is on 192.168.20.0/24.","Reconfigure PC2 network settings:
IP: 192.168.20.50
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1",RULE-02_GW_MISMATCH
NET-003,VLAN Traffic Blocked Due to Missing VLAN in Switch Database,VLAN & Trunking,Layer 2,High,Sales PCs assigned to VLAN 30 on Switch-Access-2 have no connectivity to router or other VLAN 30 devices.,"Switch-Access-2 access ports FastEthernet0/5-10 assigned to switchport access vlan 30, but VLAN 30 is not created in the VLAN database.","Switch-Access-2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Engineering                      active    Fa0/11, Fa0/12
20   Accounting                       active    Fa0/13, Fa0/14
1002 fddi-default                     act/unsup 
1003 token-ring-default               act/unsup 

Switch-Access-2# show interfaces FastEthernet0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: down
Access Mode VLAN: 30 (inactive)","VLAN 30 is assigned to access ports but does not exist in the switch VLAN database, rendering ports inactive.","Switch-Access-2(config)# vlan 30
Switch-Access-2(config-vlan)# name Sales",RULE-04_VLAN_TRUNK_MISSING
NET-004,Trunk Allowed VLAN List Pruning Sales Traffic,VLAN & Trunking,Layer 2,Medium,VLAN 30 users on Switch-B cannot communicate with VLAN 30 server on Switch-A across trunk link Gi0/1.,"Switch-A connected to Switch-B via Gi0/1 trunk link. Allowed VLAN list on Gi0/1 is restricted to 10,20.","Switch-A# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       10,20

Port        Vlans allowed and active in management domain
Gi0/1       10,20

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       10,20","Trunk interface Gi0/1 configuration explicitly limits allowed VLANs to '10,20', dropping VLAN 30 traffic.","Switch-A(config)# interface GigabitEthernet0/1
Switch-A(config-if)# switchport trunk allowed vlan add 30",RULE-04_VLAN_TRUNK_MISSING
NET-005,Router-on-a-Stick Subinterface Encapsulation Mismatch,Inter-VLAN Routing,Layer 3,High,VLAN 40 HR hosts can ping local switch but cannot reach gateway 192.168.40.1 on Router1.,Router-on-a-Stick setup on Router1 Gi0/0/0. Subinterface Gi0/0/0.40 configured with wrong dot1Q tag 50.,"Router1# show running-config interface GigabitEthernet0/0/0.40
Building configuration...
interface GigabitEthernet0/0/0.40
 encapsulation dot1Q 50
 ip address 192.168.40.1 255.255.255.0
end

Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Gi0/1       Vlans allowed on trunk: 10,20,30,40",Subinterface GigabitEthernet0/0/0.40 is configured with 'encapsulation dot1Q 50' instead of matching VLAN 40.,"Router1(config)# interface GigabitEthernet0/0/0.40
Router1(config-subif)# encapsulation dot1Q 40",RULE-03_MISSING_ROUTE
NET-006,Missing Cross-Subnet DHCP Relay Helper Address,DHCP & Services,Layer 7,High,Clients on VLAN 20 (192.168.20.0/24) fail to receive IP addresses from centralized DHCP server (10.1.1.100).,Client PC in VLAN 20 sends DHCP DISCOVER broadcast. Gateway router subinterface Gi0/0.20 lacks ip helper-address.,"Router1# show running-config interface GigabitEthernet0/0/0.20
Building configuration...
interface GigabitEthernet0/0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
end

DHCP-Server# show ip dhcp binding
IP address       Client-ID/Hardware address   Lease expiration       Type
10.1.1.100       0100.e04c.1122.33            Infinite               Manual",Router subinterface Gi0/0/0.20 is missing 'ip helper-address 10.1.1.100' to forward broadcast DHCP DISCOVER requests across subnets.,"Router1(config)# interface GigabitEthernet0/0/0.20
Router1(config-subif)# ip helper-address 10.1.1.100",RULE-06_DHCP_HELPER_MISSING
NET-007,DHCP Pool Exhaustion in Staff Subnet,DHCP & Services,Layer 7,Medium,Newly connected laptops in Staff room receive APIPA addresses (169.254.x.x) despite working network infrastructure.,Router1 acts as DHCP server for 192.168.15.0/28 (14 usable IPs). 14 leases already allocated.,"Router1# show ip dhcp pool STAFF_POOL
Pool STAFF_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (total/usable)     : 16 / 14
 Total addresses                : 14
 Leased addresses               : 14
 Pending addresses              : 0
 Subnet : 192.168.15.0 255.255.255.240
 Default router                 : 192.168.15.1",DHCP pool STAFF_POOL is exhausted (/28 subnet only provides 14 addresses and all 14 are leased).,"Expand DHCP pool subnet mask to /24:
Router1(config)# ip dhcp pool STAFF_POOL
Router1(config-dhcp)# network 192.168.15.0 255.255.255.0",RULE-06_DHCP_HELPER_MISSING
NET-008,OSPF Hello Interval Mismatch Blocking Adjacency,Dynamic Routing,Layer 3,High,Router-HQ and Router-Branch show OSPF neighbor state stuck in INIT/DOWN on link 10.255.0.0/30.,Point-to-point link between HQ (Gi0/0/1) and Branch (Gi0/0/0). OSPF hello timer changed on HQ to 5s while Branch remains 10s.,"Router-HQ# show ip ospf interface GigabitEthernet0/0/1
GigabitEthernet0/0/1 is up, line protocol is up
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  Timer intervals configured, Hello 5, Dead 20, Wait 20, Retransmit 5

Router-Branch# show ip ospf interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5","OSPF Hello/Dead timer mismatch (HQ: Hello 5/Dead 20, Branch: Hello 10/Dead 40) prevents OSPF neighbor adjacency.","Router-HQ(config)# interface GigabitEthernet0/0/1
Router-HQ(config-if)# ip ospf hello-interval 10
Router-HQ(config-if)# ip ospf dead-interval 40",RULE-03_MISSING_ROUTE
NET-009,OSPF Area Mismatch on Point-to-Point Link,Dynamic Routing,Layer 3,High,Branch subnets are not learned by Core router; `show ip route` missing 192.168.50.0/24.,Core Router Gi0/0/2 configured in OSPF Area 0; Branch Router Gi0/0/0 configured in OSPF Area 1.,"Router-Core# show running-config | section router ospf
router ospf 1
 router-id 10.0.0.1
 network 10.0.0.0 0.0.0.3 area 0

Router-Branch# show running-config | section router ospf
router ospf 1
 router-id 10.0.0.2
 network 10.0.0.0 0.0.0.3 area 1
 network 192.168.50.0 0.0.0.255 area 1",Inter-router connecting subnet 10.0.0.0/30 is configured in Area 0 on Core but Area 1 on Branch router.,"Router-Branch(config)# router ospf 1
Router-Branch(config-router)# no network 10.0.0.0 0.0.0.3 area 1
Router-Branch(config-router)# network 10.0.0.0 0.0.0.3 area 0",RULE-03_MISSING_ROUTE
NET-0010,Static Route Next-Hop Unreachable,Static Routing,Layer 3,High,Branch office users cannot reach Server Farm at 172.16.10.0/24; pings time out.,Branch Router static route configured pointing to next-hop IP 10.1.1.5 instead of active gateway 10.1.1.2.,"Router-Branch# show ip route
Codes: C - connected, S - static, O - OSPF
Gateway of last resort is not set

      10.0.0.0/24 is subnetted, 1 subnets
C        10.1.1.0/24 is directly connected, GigabitEthernet0/0/0
S     172.16.10.0/24 [1/0] via 10.1.1.5

Router-Branch# show ip arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.1.2                5   0001.63a0.b101  ARPA   GigabitEthernet0/0/0
Internet  10.1.1.5                -   Incomplete      ARPA   GigabitEthernet0/0/0","Static route for 172.16.10.0/24 points to incorrect next-hop IP 10.1.1.5, which has no ARP resolution.","Router-Branch(config)# no ip route 172.16.10.0 255.255.255.0 10.1.1.5
Router-Branch(config)# ip route 172.16.10.0 255.255.255.0 10.1.1.2",RULE-03_MISSING_ROUTE
